compile_warmup_wall_ms,warmup_wall_ms,measured_kernel_wall_ms,measured_kernel_mean_ms,active_steps,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,18.306916987057775,43.11472503468394,8.622945006936789,5,2560,32,32,16,1,4096,1,224,896,True,triton
0.0,22.891691012773663,51.065906998701394,10.213181399740279,5,2560,32,32,16,1,4096,1,224,1120,True,triton
0.0,27.603781025391072,61.40900304308161,12.281800608616322,5,2560,32,32,16,1,4096,1,224,1344,True,triton
0.0,30.012784991413355,67.02176801627502,13.404353603255004,5,2560,32,32,16,1,4096,1,224,1568,True,triton
0.0,34.34531600214541,74.06562496908009,14.813124993816018,5,2560,32,32,16,1,4096,1,224,1792,True,triton
0.0,5.112378974445164,10.054944024886936,2.010988804977387,5,2560,32,32,16,1,4096,1,256,0,True,triton
0.0,8.80090898135677,19.630920025520027,3.9261840051040053,5,2560,32,32,16,1,4096,1,256,256,True,triton
0.0,13.486550014931709,32.30423200875521,6.460846401751041,5,2560,32,32,16,1,4096,1,256,512,True,triton
0.0,18.39263498550281,41.018151969183236,8.203630393836647,5,2560,32,32,16,1,4096,1,256,768,True,triton
0.0,22.26816798793152,47.11150500224903,9.422301000449806,5,2560,32,32,16,1,4096,1,256,1024,True,triton
0.0,24.70703102881089,58.4893929772079,11.69787859544158,5,2560,32,32,16,1,4096,1,256,1280,True,triton
0.0,31.404196983203292,67.64299102360383,13.528598204720765,5,2560,32,32,16,1,4096,1,256,1536,True,triton
0.0,32.24476403556764,76.93451596423984,15.386903192847967,5,2560,32,32,16,1,4096,1,256,1792,True,triton
0.0,6.209388957358897,11.440615984611213,2.2881231969222426,5,2560,32,32,16,1,4096,1,288,0,True,triton
0.0,12.40547903580591,24.94310401380062,4.988620802760124,5,2560,32,32,16,1,4096,1,288,288,True,triton
0.0,15.744787000585347,33.26495597139001,6.652991194278002,5,2560,32,32,16,1,4096,1,288,576,True,triton
0.0,21.29350497853011,42.107112996745855,8.421422599349171,5,2560,32,32,16,1,4096,1,288,864,True,triton
0.0,25.699233985505998,53.546777984593064,10.709355596918613,5,2560,32,32,16,1,4096,1,288,1152,True,triton
0.0,29.09661002922803,67.43651698343456,13.487303396686912,5,2560,32,32,16,1,4096,1,288,1440,True,triton
0.0,35.40467697894201,73.23819695739076,14.647639391478151,5,2560,32,32,16,1,4096,1,288,1728,True,triton
0.0,6.297756975982338,12.500807002652436,2.5001614005304873,5,2560,32,32,16,1,4096,1,320,0,True,triton
0.0,11.368078005034477,24.30711197666824,4.861422395333648,5,2560,32,32,16,1,4096,1,320,320,True,triton
0.0,16.21780399000272,36.66394198080525,7.33278839616105,5,2560,32,32,16,1,4096,1,320,640,True,triton
0.0,20.83482698071748,48.076658975332975,9.615331795066595,5,2560,32,32,16,1,4096,1,320,960,True,triton
0.0,26.987497985828668,63.41502699069679,12.683005398139358,5,2560,32,32,16,1,4096,1,320,1280,True,triton
0.0,31.837785034440458,73.34139401791617,14.668278803583235,5,2560,32,32,16,1,4096,1,320,1600,True,triton
0.0,6.298587017226964,13.45035998383537,2.690071996767074,5,2560,32,32,16,1,4096,1,352,0,True,triton
0.0,11.945792008191347,25.797011039685458,5.159402207937092,5,2560,32,32,16,1,4096,1,352,352,True,triton
0.0,17.185457982122898,38.42985403025523,7.685970806051046,5,2560,32,32,16,1,4096,1,352,704,True,triton
0.0,24.947864993009716,51.911922986619174,10.382384597323835,5,2560,32,32,16,1,4096,1,352,1056,True,triton
0.0,29.06040201196447,68.91574600012973,13.783149200025946,5,2560,32,32,16,1,4096,1,352,1408,True,triton
0.0,7.143163995351642,14.43731295876205,2.88746259175241,5,2560,32,32,16,1,4096,1,384,0,True,triton
0.0,12.945624010171741,29.29870499065146,5.859740998130292,5,2560,32,32,16,1,4096,1,384,384,True,triton
0.0,20.013189991004765,42.90446103550494,8.580892207100987,5,2560,32,32,16,1,4096,1,384,768,True,triton
0.0,26.028654945548624,57.560087996535,11.512017599307,5,2560,32,32,16,1,4096,1,384,1152,True,triton
0.0,32.64181304257363,69.5991669781506,13.919833395630121,5,2560,32,32,16,1,4096,1,384,1536,True,triton
0.0,8.863696013577282,15.40466700680554,3.080933401361108,5,2560,32,32,16,1,4096,1,416,0,True,triton
0.0,14.587929006665945,30.96926904981956,6.193853809963912,5,2560,32,32,16,1,4096,1,416,416,True,triton
0.0,21.42747101606801,45.90299801202491,9.180599602404982,5,2560,32,32,16,1,4096,1,416,832,True,triton
0.0,27.670929965097457,65.2697859914042,13.053957198280841,5,2560,32,32,16,1,4096,1,416,1248,True,triton
0.0,8.46432795515284,16.819197975564748,3.3638395951129496,5,2560,32,32,16,1,4096,1,448,0,True,triton
0.0,15.66243899287656,45.953976979944855,9.190795395988971,5,2560,32,32,16,1,4096,1,448,448,True,triton
0.0,23.12891505425796,50.76321499655023,10.152642999310046,5,2560,32,32,16,1,4096,1,448,896,True,triton
0.0,29.969965980853885,69.22449800185859,13.844899600371718,5,2560,32,32,16,1,4096,1,448,1344,True,triton
0.0,8.70524998754263,18.058264045976102,3.6116528091952205,5,2560,32,32,16,1,4096,1,480,0,True,triton
0.0,16.529705957509577,36.489966965746135,7.297993393149227,5,2560,32,32,16,1,4096,1,480,480,True,triton
